ogc_fid;gml_id;id;display;roll;pitch;heading;timeposition;year;url;uri;wkb_geometry
43067;panorama_recent_2017.721009;721009;TMX7316010203-000255_pano_0000_003304;-0.352140177898837;0.805095112294886;157.716204513083;2017-04-11T11:34:14Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000255/pano_0000_003304/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000255_pano_0000_003304/;01010000204071000036AE7FD7C333FD4063EE5AF21F8D1D41
43069;panorama_recent_2017.721011;721011;TMX7316010203-000255_pano_0000_003306;-1.50633373244733;0.609424637606517;165.90498310997;2017-04-11T11:34:17Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000255/pano_0000_003306/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000255_pano_0000_003306/;010100002040710000EA060A3C8833FD40BABE0F57708D1D41
43085;panorama_recent_2017.721049;721049;TMX7316010203-000255_pano_0000_003344;-1.25099763475948;-1.65943735997721;345.945255852347;2017-04-11T11:34:55Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000255/pano_0000_003344/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000255_pano_0000_003344/;010100002040710000B9A7ABFB7133FD4052B7B39F238D1D41
43092;panorama_recent_2017.721057;721057;TMX7316010203-000255_pano_0000_003352;-1.54133413801258;0.607229073865942;349.364811537672;2017-04-11T11:35:02Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000255/pano_0000_003352/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000255_pano_0000_003352/;01010000204071000032056B5C5834FD40C72AA5B7EE8B1D41
43093;panorama_recent_2017.721058;721058;TMX7316010203-000255_pano_0000_003353;-1.91376793114401;0.957105303575586;348.999653914067;2017-04-11T11:35:03Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000255/pano_0000_003353/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000255_pano_0000_003353/;010100002040710000178387297034FD40E124CDFFC78B1D41
43102;panorama_recent_2017.721067;721067;TMX7316010203-000255_pano_0000_003362;-1.36514670716612;0.46111731469325;353.73352545472;2017-04-11T11:35:10Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000255/pano_0000_003362/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000255_pano_0000_003362/;01010000204071000004AA7F90E634FD4059DFC0746B8A1D41
43686;panorama_recent_2017.721752;721752;TMX7316010203-000257_pano_0000_000430;0.825274256935515;-0.89132170962263;94.005120822286;2017-04-11T12:31:23Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000430/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000430/;0101000020407100005F7990DE7108FD4008E3A731BB871D41
43689;panorama_recent_2017.721755;721755;TMX7316010203-000257_pano_0000_000433;-1.47234205971388;-0.17689262046183;93.9001819168066;2017-04-11T12:31:26Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000433/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000433/;010100002040710000DAE21A5F8E06FD404E29AF65C7871D41
43698;panorama_recent_2017.721766;721766;TMX7316010203-000257_pano_0000_000456;-0.683991809505953;-0.774534055765672;79.7802605356651;2017-04-11T12:31:54Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000456/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000456/;0101000020407100005531953E48F8FC40BCADF4EAFE871D41
43703;panorama_recent_2017.721772;721772;TMX7316010203-000257_pano_0000_000466;-0.538534845720827;-0.527718717343262;335.118727197771;2017-04-11T12:32:14Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000466/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000466/;0101000020407100007DCF48041BF7FC4083F6EA939A871D41
43778;panorama_recent_2017.721848;721848;TMX7316010203-000257_pano_0000_000546;-0.925930596315143;-0.403530691746427;94.4386338811004;2017-04-11T12:34:31Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000546/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000546/;010100002040710000AA2C0ABB3406FD4060EAE72DC8871D41
43785;panorama_recent_2017.721857;721857;TMX7316010203-000257_pano_0000_000569;-1.01755647258178;-0.625009555234702;88.4791189663789;2017-04-11T12:35:00Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000569/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000569/;01010000204071000073A087DA02F8FC40B0C91A65FD871D41
43787;panorama_recent_2017.721859;721859;TMX7316010203-000257_pano_0000_000572;-0.23982777750345;0.213245918792209;58.8225883301344;2017-04-11T12:35:04Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000572/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000572/;0101000020407100007505DBC83FF6FC403E247CDFE7871D41
43788;panorama_recent_2017.721860;721860;TMX7316010203-000257_pano_0000_000573;-1.28702905576374;0.636303849150537;69.7162748286328;2017-04-11T12:35:05Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_000573/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_000573/;01010000204071000092973571ACF5FC404CDD951DD9871D41
44263;panorama_recent_2017.722367;722367;TMX7316010203-000257_pano_0000_001356;-0.913310006066416;-0.34852921280467;178.315192505028;2017-04-11T13:08:02Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_001356/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_001356/;01010000204071000053CF8290C806FD403FC406DB62741D41
44264;panorama_recent_2017.722368;722368;TMX7316010203-000257_pano_0000_001357;-0.920086450787365;-0.302228444293323;178.417822042268;2017-04-11T13:08:03Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_001357/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_001357/;010100002040710000E275FDC2CA06FD401B2C9C9489741D41
44270;panorama_recent_2017.722374;722374;TMX7316010203-000257_pano_0000_001363;-1.04421690772375;-0.594243043179612;178.320370583264;2017-04-11T13:08:08Z;2017;https://data.amsterdam.nl/panorama/2017/04/11/TMX7316010203-000257/pano_0000_001363/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000257_pano_0000_001363/;0101000020407100001329CDA6CD06FD40C592725771751D41
